#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
 485  6.455774e-07  3.626979e-07  7.688200e-07
 487  1.447470e-08  1.240286e-06  1.447470e-08
 489  3.626979e-07  3.916473e-07  1.741116e-07
 491  3.916473e-07  1.051699e-06  2.030610e-07
 493  1.741116e-07  7.981846e-08  2.030610e-07
 495  4.569911e-07  2.030610e-07  1.087679e-07
 497  1.447470e-08  2.973542e-07  5.512843e-07
 499  7.981846e-08  4.859405e-07  2.684048e-07
 501  9.284569e-07  4.569911e-07  3.916473e-07
 503  1.741116e-07  7.688200e-07  4.569911e-07
 505  3.626979e-07  3.916473e-07  4.569911e-07
 507  4.569911e-07  8.341637e-07  6.455774e-07
 509  9.284569e-07  2.973542e-07  7.398706e-07
 511  1.741116e-07  3.916473e-07  1.741116e-07
 513  7.981846e-08  2.684048e-07  2.030610e-07
 515  1.087679e-07  2.030610e-07  1.087679e-07
 517  7.981846e-08  1.447470e-08  5.512843e-07
 519  4.859405e-07  3.626979e-07  4.569911e-07
 521  9.284569e-07  5.512843e-07  2.030610e-07
 523  3.626979e-07  6.455774e-07  2.030610e-07
 525  4.859405e-07  2.030610e-07  4.859405e-07
 527  6.455774e-07  3.626979e-07  3.626979e-07
 529  1.447470e-08  5.802337e-07  2.973542e-07
 531  7.398706e-07  2.684048e-07  1.087679e-07
 533  4.569911e-07  3.626979e-07  1.145993e-06
 535  7.981846e-08  7.981846e-08  4.569911e-07
 537  2.684048e-07  4.859405e-07  5.512843e-07
 539  5.512843e-07  1.741116e-07  7.981846e-08
 541  3.626979e-07  3.626979e-07  2.030610e-07
 543  9.574063e-07  3.916473e-07  3.626979e-07
 545  8.341637e-07  1.447470e-08  1.447470e-08
 547  1.087679e-07  1.447470e-08  2.973542e-07
 549  5.512843e-07  1.741116e-07  1.741116e-07
 551  3.626979e-07  1.087679e-07  3.916473e-07
 553  7.398706e-07  7.981846e-08  2.973542e-07
 555  1.741116e-07  3.916473e-07  7.981846e-08
 557  8.341637e-07  2.973542e-07  7.981846e-08
 559  6.455774e-07  1.447470e-08  7.981846e-08
 561  5.512843e-07  1.211336e-06  2.684048e-07
 563  1.447470e-08  4.569911e-07  7.981846e-08
 565  1.741116e-07  7.981846e-08  1.087679e-07
 567  1.494216e-06  2.684048e-07  7.981846e-08
 569  1.447470e-08  7.981846e-08  5.512843e-07
 571  2.684048e-07  3.916473e-07  2.684048e-07
 573  1.447470e-08  3.916473e-07  7.981846e-08
 575  1.399923e-06  2.973542e-07  1.741116e-07
 577  2.684048e-07  2.684048e-07  1.022750e-06
 579  8.341637e-07  3.916473e-07  8.631131e-07
 581  4.569911e-07  1.087679e-07  3.626979e-07
 583  2.030610e-07  9.284569e-07  3.916473e-07
 585  4.569911e-07  4.859405e-07  1.447470e-08
 587  2.973542e-07  2.030610e-07  3.626979e-07
 589  2.973542e-07  9.574063e-07  2.030610e-07
 591  2.684048e-07  2.684048e-07  1.741116e-07
 593  1.087679e-07  3.916473e-07  1.741116e-07
 595  2.030610e-07  1.447470e-08  7.981846e-08
 597  2.684048e-07  6.745268e-07  4.859405e-07
 599  6.455774e-07  1.087679e-07  1.087679e-07
 601  3.916473e-07  4.569911e-07  4.569911e-07
 603  5.512843e-07  5.802337e-07  7.981846e-08
 605  2.030610e-07  2.973542e-07  1.741116e-07
 607  3.626979e-07  5.802337e-07  5.802337e-07
 609  1.022750e-06  7.981846e-08  2.030610e-07
 611  2.030610e-07  4.859405e-07  7.981846e-08
 613  6.455774e-07  4.569911e-07  2.973542e-07
 615  1.447470e-08  1.741116e-07  2.973542e-07
 617  1.447470e-08  2.684048e-07  1.447470e-08
