# omega0=1, alpha=0.3
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
9.392860473722710e+00 -1.156860171180376e-01 -2.366647521748214e-02
9.484053293855940e+00 -1.173367614712155e-01 -1.256262966102331e-02
9.575246113989170e+00 -1.179832642940110e-01 -1.656163411691221e-03
9.666438934122400e+00 -1.176473636762276e-01 8.969452768926847e-03
9.757631754255630e+00 -1.163583063709387e-01 1.923529212205238e-02
9.848824574388860e+00 -1.141523106489538e-01 2.906746291406478e-02
9.940017394522091e+00 -1.110720866411732e-01 3.839754967896185e-02
1.003121021465532e+01 -1.071663187350924e-01 4.716300407563783e-02
1.012240303478855e+01 -1.024891146532299e-01 5.530748460824058e-02
1.021359585492178e+01 -9.709942591753569e-02 6.278114428867872e-02
1.030478867505501e+01 -9.106044449477600e-02 6.954086517541747e-02
1.039598149518824e+01 -8.443898051934624e-02 7.555043864334839e-02
1.048717431532147e+01 -7.730482609437156e-02 8.078069025875365e-02
1.057836713545470e+01 -6.973011026920821e-02 8.520954827399689e-02
1.066955995558793e+01 -6.178865036987211e-02 8.882205503004374e-02
1.076075277572116e+01 -5.355530490629930e-02 9.161032096117237e-02
1.085194559585439e+01 -4.510533328499898e-02 9.357342142423233e-02
1.094313841598762e+01 -3.651376750736971e-02 9.471723720384428e-02
1.103433123612085e+01 -2.785480092474391e-02 9.505424024660628e-02
1.112552405625408e+01 -1.920119894598856e-02 9.460322691797678e-02
1.121671687638731e+01 -1.062373635031556e-02 9.338900181871768e-02
1.130790969652054e+01 -2.190665548270893e-03 9.144201590735226e-02
1.139910251665377e+01 6.032780237694928e-03 8.879796331743796e-02
1.149029533678700e+01 1.398484532763615e-02 8.549734180483688e-02
1.158148815692023e+01 2.160766839860736e-02 8.158498218845704e-02
1.167268097705346e+01 2.884765518799004e-02 7.710955244370409e-02
1.176387379718669e+01 3.565580503869488e-02 7.212304226490382e-02
1.185506661731992e+01 4.198798977161701e-02 6.668023393304698e-02
1.194625943745315e+01 4.780518389896515e-02 6.083816521750813e-02
1.203745225758638e+01 5.307364570524008e-02 5.465558982015997e-02
1.212864507771961e+01 5.776504921131999e-02 4.819244055738968e-02
1.221983789785284e+01 6.185656749388591e-02 4.150930009262661e-02
1.231103071798607e+01 6.533090825199178e-02 3.466688360289719e-02
1.240222353811930e+01 6.817630289180523e-02 2.772553731081990e-02
