# omega0=1, alpha=1
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
1.340534455958484e+01 3.410211296340983e-05 5.972298412726447e-04
1.349653737971807e+01 8.594606518355886e-05 5.398723687693525e-04
1.358773019985130e+01 1.325887411864554e-04 4.832260291359620e-04
1.367892301998453e+01 1.741130063581770e-04 4.276787665286772e-04
1.377011584011776e+01 2.106351577167187e-04 3.735759828957111e-04
1.386130866025099e+01 2.423010863537919e-04 3.212215024548810e-04
1.395250148038422e+01 2.692825392944577e-04 2.708787823501175e-04
1.404369430051745e+01 2.917735018005743e-04 2.227723384141721e-04
1.413488712065068e+01 3.099867183547748e-04 1.770893559645305e-04
1.422607994078391e+01 3.241503678706818e-04 1.339814567110036e-04
1.431727276091714e+01 3.345049060951372e-04 9.356659413430079e-05
1.440846558105037e+01 3.413000857101675e-04 5.593105108363936e-05
1.449965840118360e+01 3.447921623151392e-04 2.113151481766288e-05
1.459085122131683e+01 3.452412922801631e-04 -1.080279374271522e-05
1.468204404145006e+01 3.429091264156428e-04 -3.986795818667074e-05
1.477323686158329e+01 3.380566015037239e-04 -6.608319222100093e-05
1.486442968171652e+01 3.309419299875297e-04 -8.948867107853606e-05
1.495562250184975e+01 3.218187865143726e-04 -1.101433854463166e-04
1.504681532198298e+01 3.109346885792155e-04 -1.281230329963481e-04
1.513800814211621e+01 2.985295672129880e-04 -1.435179609884778e-04
1.522920096224944e+01 2.848345225043590e-04 -1.564311718352974e-04
1.532039378238267e+01 2.700707577297063e-04 -1.669764019825822e-04
1.541158660251590e+01 2.544486849899792e-04 -1.752762829740612e-04
1.550277942264913e+01 2.381671945098630e-04 -1.814605921435598e-04
1.559397224278236e+01 2.214130791384560e-04 -1.856645990169568e-04
1.568516506291559e+01 2.043606050953772e-04 -1.880275122160716e-04
1.577635788304882e+01 1.871712196252432e-04 -1.886910304406752e-04
1.586755070318205e+01 1.699933859498271e-04 -1.877979999664650e-04
1.595874352331528e+01 1.529625357337798e-04 -1.854911800383487e-04
1.604993634344851e+01 1.362011291991845e-04 -1.819121165611800e-04
1.614112916358174e+01 1.198188130289856e-04 -1.772001235948731e-04
1.623232198371497e+01 1.039126662820013e-04 -1.714913713475359e-04
1.632351480384820e+01 8.856752469535197e-05 -1.649180786282458e-04
1.641470762398143e+01 7.385637396635169e-05 -1.576078070690597e-04
1.650590044411466e+01 5.984080287800897e-05 -1.496828538520178e-04
1.659709326424789e+01 4.657150745322675e-05 -1.412597391790109e-04
1.668828608438112e+01 3.408883768577778e-05 -1.324487842977662e-04
1.677947890451435e+01 2.242337879461178e-05 -1.233537755428530e-04
1.687067172464758e+01 1.159655937576610e-05 -1.140717095632127e-04
1.696186454478081e+01 1.621279277157124e-06 -1.046926146837188e-04
1.705305736491404e+01 -7.497449509786835e-06 -9.529944318392716e-05
1.714425018504727e+01 -1.576185516659247e-05 -8.596802916859355e-05
1.723544300518050e+01 -2.318075730864018e-05 -7.676710664771240e-05
1.732663582531373e+01 -2.976892243524170e-05 -6.775838243471196e-05
1.741782864544696e+01 -3.554642832324673e-05 -5.899665850593726e-05
1.750902146558019e+01 -4.053804163311182e-05 -5.052999853859178e-05
1.760021428571342e+01 -4.477261251934884e-05 -4.239993345385458e-05
1.769140710584665e+01 -4.828248957171208e-05 -3.464170093297681e-05
1.778259992597988e+01 -5.110295796208226e-05 -2.728451404292270e-05
1.787379274611311e+01 -5.327170323711296e-05 -2.035185430080005e-05
1.796498556624634e+01 -5.482830278033579e-05 -1.386178471931038e-05
1.805617838637957e+01 -5.581374657126863e-05 -7.827278605277552e-06
1.814737120651280e+01 -5.626998849451926e-05 -2.256560126692002e-06
1.823856402664603e+01 -5.623952910001859e-05 2.846547082478318e-06
1.832975684677927e+01 -5.576503038716896e-05 7.482266749134648e-06
1.842094966691250e+01 -5.488896288141348e-05 1.165451542287193e-05
1.851214248704573e+01 -5.365328499184062e-05 1.537054950774711e-05
1.860333530717896e+01 -5.209915438303181e-05 1.864061653068077e-05
1.869452812731219e+01 -5.026667086333312e-05 2.147761304710715e-05
1.878572094744542e+01 -4.819465008479554e-05 2.389675132253610e-05
1.887691376757865e+01 -4.592042716672575e-05 2.591523667258394e-05
1.896810658771188e+01 -4.347968919451606e-05 2.755195709529235e-05
1.905929940784511e+01 -4.090633540744572e-05 2.882718658951954e-05
1.915049222797834e+01 -3.823236377261640e-05 2.976230332300363e-05
1.924168504811157e+01 -3.548778254616093e-05 3.037952359433427e-05
1.933287786824480e+01 -3.270054534631984e-05 3.070165232532381e-05
1.942407068837803e+01 -2.989650820482645e-05 3.075185062478238e-05
1.951526350851126e+01 -2.709940702213615e-05 3.055342078195461e-05
1.960645632864449e+01 -2.433085382720183e-05 3.012960887821226e-05
1.969764914877772e+01 -2.161035023253028e-05 2.950342504922253e-05
1.978884196891095e+01 -1.895531647893802e-05 2.869748128681138e-05
1.988003478904418e+01 -1.638113448054089e-05 2.773384654008361e-05
1.997122760917741e+01 -1.390120330784648e-05 2.663391875891517e-05
2.006242042931064e+01 -1.152700558417959e-05 2.541831341946997e-05
2.015361324944387e+01 -9.268183316885397e-06 2.410676798060471e-05
2.024480606957710e+01 -7.132621738686026e-06 2.271806164152746e-05
2.033599888971033e+01 -5.126539795111630e-06 2.126994970441940e-05
2.042719170984356e+01 -3.254585980030140e-06 1.977911179041458e-05
2.051838452997679e+01 -1.519938291950843e-06 1.826111311280733e-05
2.060957735011002e+01 7.559284198158422e-08 1.673037797703701e-05
2.070077017024325e+01 1.531459750456650e-06 1.520017465226654e-05
2.079196299037648e+01 2.848271808313418e-06 1.368261074358632e-05
2.088315581050971e+01 4.027689750255721e-06 1.218863818638395e-05
2.097434863064294e+01 5.072320845362954e-06 1.072806698455905e-05
2.106554145077617e+01 5.985615689969088e-06 9.309586821365794e-06
2.115673427090940e+01 6.771767297599606e-06 7.940795685069458e-06
2.124792709104263e+01 7.435613087257709e-06 6.628234670652442e-06
2.133911991117586e+01 7.982540295922913e-06 5.377428142855863e-06
2.143031273130909e+01 8.418395268094222e-06 4.192928474268445e-06
2.152150555144232e+01 8.749397004947780e-06 3.078364604367724e-06
2.161269837157555e+01 8.982055288501916e-06 2.036493700795553e-06
2.170389119170878e+01 9.123093632355352e-06 1.069255242151952e-06
2.179508401184201e+01 9.179377250302326e-06 1.778268816880830e-07
2.188627683197524e+01 9.157846177599068e-06 -6.373185070308098e-07
2.197746965210847e+01 9.065453626983401e-06 -1.376355158607998e-06
2.206866247224170e+01 8.909109612815265e-06 -2.040046631059796e-06
2.215985529237493e+01 8.695629831954508e-06 -2.629688376659056e-06
2.225104811250816e+01 8.431689749231798e-06 -3.147051093527182e-06
2.234224093264139e+01 8.123783798574706e-06 -3.594325239867651e-06
2.243343375277462e+01 7.778189577970537e-06 -3.974067050214356e-06
2.252462657290785e+01 7.400936887400450e-06 -4.289146351558807e-06
